episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.6112,47.23,32,8,0,0.05,0,None
1,2,LOW,NO_OP,100.0,100.0,1.577,47.22,32,8,0,0.07,0,None
1,3,LOW,NO_OP,100.0,100.0,1.5771,47.22,32,8,0,-0.0,0,None
1,4,LOW,NO_OP,100.0,100.0,1.6544,47.24,32,8,0,-0.15,0,None
1,5,LOW,NO_OP,100.0,100.0,1.6103,47.25,32,8,0,0.09,0,None
1,6,LOW,NO_OP,100.0,100.0,1.7108,47.26,30,8,0,-10.2,1,"[LOW  ] Spoof -> ['GPS BIIRM-5 (PRN 29)', 'GPS BIII-3  (PRN 23)']"
1,7,LOW,NO_OP,100.0,99.34,1.8718,47.27,27,8,0,-0.32,1,"[LOW  ] Spoof -> ['GPS BIIF-9  (PRN 26)', 'GPS BIII-7  (PRN 01)', 'GPS BIIRM-6 (PRN 07)']"
1,8,LOW,NO_OP,100.0,100.0,1.9428,47.27,27,8,0,-0.14,0,None
1,9,LOW,NO_OP,100.0,100.0,1.9608,47.26,26,8,0,-0.04,1,[LOW  ] Spoof -> ['GPS BIIF-10 (PRN 08)']
1,10,LOW,NO_OP,100.0,99.91,1.9436,47.25,26,8,0,0.03,0,None
1,11,LOW,NO_OP,100.0,99.62,2.0672,47.25,26,8,0,-0.25,0,None
1,12,LOW,NO_OP,100.0,99.84,2.0714,47.26,26,8,0,-0.01,0,None
1,13,LOW,NO_OP,100.0,99.89,2.0391,47.26,25,8,0,0.06,1,[LOW  ] Spoof -> ['GPS BIIF-1  (PRN 25)']
1,14,LOW,NO_OP,100.0,99.76,2.069,47.26,25,8,0,-0.06,0,None
1,15,LOW,ACTIVATE_SPARE,100.0,99.88,2.0054,47.25,24,7,0,-14.87,1,"[LOW  ] Spoof -> ['GPS BIIRM-1 (PRN 17)', 'GPS BIIF-6  (PRN 06)']"
1,16,LOW,NO_OP,100.0,99.89,2.0411,47.26,24,7,0,-0.07,0,None
1,17,LOW,NO_OP,100.0,99.16,2.1171,47.27,24,7,0,-0.15,0,None
1,18,LOW,NO_OP,100.0,99.61,2.1006,47.26,24,7,0,0.03,0,None
