episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.576,47.25,32,8,0,0.14,0,None
1,2,LOW,NO_OP,100.0,100.0,1.573,47.26,32,8,0,0.01,0,None
1,3,LOW,NO_OP,100.0,100.0,1.5678,47.26,32,8,0,0.01,0,None
1,4,LOW,NO_OP,100.0,100.0,1.7762,47.27,29,8,0,-10.42,1,"[LOW  ] Spoof -> ['GPS BIIRM-3 (PRN 12)', 'GPS BIIF-4  (PRN 27)', 'GPS BIII-9  (PRN 20)']"
1,5,LOW,NO_OP,100.0,100.0,1.7542,47.27,29,8,0,0.04,0,None
1,6,LOW,NO_OP,100.0,99.88,1.7762,47.26,28,8,0,-10.04,1,[LOW  ] Spoof -> ['GPS BIIF-10 (PRN 08)']
1,7,LOW,RETIRE_SATELLITE,100.0,100.0,1.8751,47.25,27,8,0,-5.2,1,[LOW  ] Spoof -> ['GPS BIIF-9  (PRN 26)']
1,8,LOW,NO_OP,100.0,99.76,1.9122,47.26,27,8,0,-0.07,0,None
1,9,LOW,ACTIVATE_SPARE,100.0,99.95,1.8205,47.26,28,7,0,-4.82,0,None
1,10,LOW,NO_OP,99.81,99.81,1.8197,47.25,27,7,0,-0.96,1,[LOW  ] Spoof -> ['GPS BIIRM-6 (PRN 07)']
1,11,LOW,NO_OP,100.0,99.73,1.8742,47.24,27,7,0,0.85,0,None
1,12,LOW,NO_OP,99.91,98.21,2.2946,47.23,24,7,0,-11.31,1,"[LOW  ] Spoof -> ['GPS BIIRM-8 (PRN 05)', 'GPS BIIR-11 (PRN 19)', 'GPS BIIR-8  (PRN 16)']"
1,13,LOW,ACTIVATE_SPARE,100.0,99.91,2.1136,47.25,24,6,0,5.83,1,[LOW  ] Spoof -> ['GPS BIIF-8  (PRN 03)']
1,14,LOW,NO_OP,100.0,99.7,2.0631,47.26,24,6,0,0.1,0,None
1,15,LOW,ACTIVATE_SPARE,100.0,98.92,2.1373,47.27,23,5,0,-5.15,1,"[LOW  ] Spoof -> ['GPS BIIRM-2 (PRN 31)', 'GPS BIII-7  (PRN 01)']"
1,16,LOW,NO_OP,100.0,99.42,2.1934,47.27,23,5,0,-0.11,0,None
1,17,LOW,NO_OP,98.44,90.84,3.5138,47.25,20,5,0,-20.43,1,"[LOW  ] Spoof -> ['GPS BIII-6  (PRN 28)', 'GPS BIIRM-4 (PRN 15)', 'GPS BIIF-4  (PRN 27)']"
1,18,LOW,NO_OP,98.37,93.08,2.9368,47.25,20,5,0,0.8,0,None
1,19,LOW,RETIRE_SATELLITE,97.9,92.47,2.6818,47.25,20,5,0,-6.83,0,None
1,20,LOW,RETIRE_SATELLITE,96.34,91.31,3.0215,47.25,20,5,0,-13.51,0,None
1,21,LOW,ACTIVATE_SPARE,90.97,78.35,3.6203,47.24,18,4,0,-33.04,1,"[LOW  ] Spoof -> ['GPS BIIRM-3 (PRN 12)', 'GPS BIII-1  (PRN 04)', 'GPS BIIR-5  (PRN 22)']"
1,22,LOW,NO_OP,92.01,85.94,3.1238,47.23,18,4,0,6.2,0,None
1,23,LOW,NO_OP,93.0,89.56,2.9334,47.22,18,4,0,5.34,0,None
1,24,LOW,ACTIVATE_SPARE,92.83,79.02,5.9402,47.23,17,3,0,-21.89,1,"[LOW  ] Spoof -> ['GPS BIIF-3  (PRN 24)', 'GPS BIIF-7  (PRN 09)']"
1,25,LOW,NO_OP,95.26,83.45,5.5431,47.25,17,3,0,12.94,0,None
1,26,LOW,NO_OP,96.55,84.11,4.4368,47.25,17,3,0,8.67,0,None
1,27,LOW,NO_OP,97.12,89.65,3.431,47.28,17,3,0,4.86,0,None
1,28,LOW,RETIRE_SATELLITE,92.3,78.74,11.4023,47.3,15,3,0,-45.04,1,"[LOW  ] Spoof -> ['GPS BIIR-11 (PRN 19)', 'GPS BIIF-11 (PRN 10)']"
1,29,LOW,LAUNCH_SATELLITE,91.74,78.05,4.1964,47.3,15,3,1,1.61,0,None
1,30,LOW,RETIRE_SATELLITE,83.38,63.48,6.739,47.26,14,3,1,-51.88,0,None
1,31,LOW,LAUNCH_SATELLITE,76.38,57.7,14.3947,47.25,13,3,2,-60.29,0,None
1,32,LOW,NO_OP,77.81,57.57,5.0076,47.27,13,3,2,25.92,0,None
1,33,LOW,LAUNCH_SATELLITE,42.73,27.94,25.1948,47.28,10,3,3,-225.77,1,"[LOW  ] Spoof -> ['GPS BIIR-13 (PRN 02)', 'GPS BIIF-1  (PRN 25)', 'GPS BIII-8  (PRN 21)']"
1,34,LOW,NO_OP,33.34,19.27,11.1751,47.27,8,3,3,-18.93,1,"[LOW  ] Spoof -> ['GPS BIIF-12 (PRN 32)', 'GPS BIIRM-5 (PRN 29)']"
2,1,LOW,NO_OP,100.0,100.0,1.576,47.25,32,8,0,0.14,0,None
2,2,LOW,NO_OP,100.0,100.0,1.6633,47.26,30,8,0,-10.17,1,"[LOW  ] Spoof -> ['GPS BIII-7  (PRN 01)', 'GPS BIII-6  (PRN 28)']"
2,3,LOW,RETIRE_SATELLITE,100.0,100.0,1.6579,47.26,30,8,0,-4.99,0,None
2,4,LOW,ACTIVATE_SPARE,100.0,100.0,1.8018,47.26,29,7,0,-5.29,1,"[LOW  ] Spoof -> ['GPS BIII-3  (PRN 23)', 'GPS BIIF-6  (PRN 06)']"
2,5,LOW,NO_OP,100.0,98.54,2.1494,47.25,27,7,0,-10.7,1,"[LOW  ] Spoof -> ['GPS BIIF-11 (PRN 10)', 'GPS BIIF-12 (PRN 32)']"
2,6,LOW,RETIRE_SATELLITE,99.9,98.21,2.1295,47.25,27,7,0,-5.44,0,None
