episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.6254,47.23,32,8,0,0.0,0,None
1,2,LOW,NO_OP,100.0,100.0,1.5933,47.23,32,8,0,0.06,0,None
1,3,LOW,NO_OP,100.0,100.0,1.6185,47.23,32,8,0,-0.05,0,None
1,4,LOW,NO_OP,100.0,100.0,1.6195,47.23,32,8,0,-0.0,0,None
1,5,LOW,NO_OP,100.0,100.0,1.6015,47.23,32,8,0,0.04,0,None
1,6,LOW,NO_OP,100.0,100.0,1.5792,47.22,32,8,0,0.04,0,None
1,7,LOW,NO_OP,100.0,100.0,1.6515,47.23,31,8,0,-10.14,1,[LOW  ] Spoof -> ['GPS BIIF-7  (PRN 09)']
1,8,LOW,NO_OP,100.0,100.0,1.7002,47.25,31,8,0,-0.1,0,None
1,9,LOW,NO_OP,100.0,100.0,1.6426,47.26,31,8,0,0.12,0,None
1,10,LOW,NO_OP,100.0,100.0,1.616,47.26,31,8,0,0.05,0,None
1,11,LOW,NO_OP,100.0,100.0,1.6029,47.27,31,8,0,0.03,0,None
1,12,LOW,NO_OP,100.0,99.88,1.8309,47.28,29,8,0,-0.46,1,"[LOW  ] Spoof -> ['GPS BIIF-4  (PRN 27)', 'GPS BIII-2  (PRN 18)']"
1,13,LOW,NO_OP,100.0,99.93,1.8381,47.26,29,8,0,-0.01,0,None
1,14,LOW,ACTIVATE_SPARE,100.0,100.0,1.7951,47.26,29,7,0,-4.91,1,[LOW  ] Spoof -> ['GPS BIIF-5  (PRN 30)']
1,15,LOW,NO_OP,100.0,100.0,1.7563,47.26,29,7,0,0.08,0,None
1,16,LOW,NO_OP,100.0,100.0,1.793,47.27,29,7,0,-0.07,0,None
1,17,LOW,NO_OP,100.0,99.91,1.7876,47.27,29,7,0,0.01,0,None
1,18,LOW,RETIRE_SATELLITE,100.0,100.0,1.7285,47.25,29,7,0,-4.88,0,None
1,19,LOW,ACTIVATE_SPARE,100.0,100.0,1.722,47.24,30,6,0,-4.99,0,None
1,20,LOW,NO_OP,100.0,100.0,1.7856,47.24,30,6,0,-0.13,0,None
1,21,LOW,NO_OP,100.0,100.0,1.7376,47.25,30,6,0,0.1,0,None
1,22,LOW,NO_OP,100.0,100.0,1.6904,47.25,30,6,0,0.09,0,None
1,23,LOW,NO_OP,100.0,100.0,1.7504,47.26,29,6,0,-0.12,1,[LOW  ] Spoof -> ['GPS BIII-8  (PRN 21)']
1,24,LOW,NO_OP,100.0,100.0,1.7608,47.26,29,6,0,-0.02,0,None
1,25,LOW,NO_OP,100.0,99.52,1.8999,47.25,28,6,0,-0.28,1,[LOW  ] Spoof -> ['GPS BIIF-3  (PRN 24)']
1,26,LOW,ACTIVATE_SPARE,100.0,99.08,1.9194,47.23,29,5,0,-5.04,0,None
1,27,LOW,RETIRE_SATELLITE,100.0,100.0,1.7935,47.21,29,5,0,-4.75,0,None
1,28,LOW,RETIRE_SATELLITE,100.0,100.0,1.8182,47.21,29,5,0,-5.05,0,None
1,29,LOW,NO_OP,100.0,100.0,1.8848,47.21,29,5,0,-0.13,0,None
1,30,LOW,ACTIVATE_SPARE,100.0,100.0,1.7554,47.22,30,4,0,-4.74,0,None
1,31,LOW,NO_OP,100.0,100.0,1.696,47.21,30,4,0,0.12,0,None
1,32,LOW,NO_OP,100.0,100.0,1.7198,47.21,30,4,0,-0.05,0,None
1,33,LOW,ACTIVATE_SPARE,100.0,100.0,1.7217,47.24,31,3,0,5.0,0,None
1,34,LOW,NO_OP,100.0,100.0,1.7255,47.26,31,3,0,-0.01,0,None
1,35,LOW,NO_OP,100.0,100.0,1.6952,47.27,31,3,0,0.06,0,None
1,36,LOW,NO_OP,100.0,100.0,1.6486,47.27,31,3,0,0.09,0,None
1,37,LOW,ACTIVATE_SPARE,100.0,100.0,1.6208,47.27,32,2,0,-4.94,0,None
1,38,LOW,LAUNCH_SATELLITE,100.0,100.0,1.7313,47.26,31,2,1,-10.22,1,[LOW  ] Spoof -> ['GPS BIIF-8  (PRN 03)']
