episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,55,MEDIUM,NO_OP,100.0,100.0,1.8209,47.26,32,8,1,123.42,0,None
1,56,MEDIUM,NO_OP,100.0,100.0,1.7567,47.24,31,8,0,160.61,0,None
1,57,MEDIUM,NO_OP,100.0,100.0,1.7066,47.24,31,8,0,161.2,0,None
1,58,MEDIUM,NO_OP,100.0,100.0,1.7748,47.26,31,8,0,120.73,0,None
1,59,MEDIUM,NO_OP,100.0,100.0,1.7114,47.25,31,8,0,161.25,0,None
1,60,MEDIUM,NO_OP,100.0,100.0,1.6798,47.23,31,8,0,161.13,0,None
1,61,MEDIUM,NO_OP,100.0,100.0,1.6219,47.21,31,8,0,161.23,0,None
1,62,MEDIUM,NO_OP,100.0,100.0,1.7602,47.24,31,8,0,120.45,0,None
1,63,MEDIUM,NO_OP,100.0,100.0,1.7099,45.17,31,8,0,161.2,1,"[HIGH ] Severe Jam @ (-30.0, 60.0) (4 steps)"
1,64,MEDIUM,NO_OP,100.0,100.0,1.7624,45.17,31,8,0,120.79,0,None
1,65,MEDIUM,NO_OP,100.0,100.0,1.699,45.15,31,8,0,161.25,0,None
1,66,MEDIUM,ACTIVATE_SPARE,100.0,100.0,1.6648,45.0,32,7,0,101.78,0,None
1,67,MEDIUM,NO_OP,100.0,100.0,1.7314,47.25,32,7,0,123.73,0,None
1,68,MEDIUM,LAUNCH_SATELLITE,100.0,100.0,1.7745,47.2,31,7,1,156.62,0,None
1,69,MEDIUM,NO_OP,100.0,100.0,1.6315,47.2,31,7,1,161.57,0,None
1,70,MEDIUM,NO_OP,100.0,100.0,1.7354,44.51,31,7,1,120.58,1,"[HIGH ] Severe Jam @ (-60.0, -60.0) (4 steps)"
1,71,MEDIUM,NO_OP,100.0,100.0,1.8572,44.48,31,7,1,120.51,0,None
1,72,MEDIUM,NO_OP,100.0,100.0,1.8088,44.61,26,7,1,146.11,1,[HIGH ] Orbital Plane 0 -> 5 sats disabled
1,73,MEDIUM,NO_OP,100.0,100.0,1.8935,45.17,26,7,1,105.66,1,"[HIGH ] Severe Jam @ (30.0, 150.0) (4 steps)"
1,74,MEDIUM,LAUNCH_SATELLITE,100.0,100.0,1.9941,45.21,26,8,1,141.1,1,"[HIGH ] Severe Jam @ (-30.0, -180.0) (4 steps)"
1,75,MEDIUM,NO_OP,100.0,98.81,2.6469,45.14,26,8,1,103.39,0,None
1,76,MEDIUM,NO_OP,100.0,98.81,2.3061,44.5,26,8,1,147.36,1,[HIGH ] Orbital Plane 4 -> 5 sats disabled
1,77,MEDIUM,NO_OP,100.0,100.0,2.4485,44.78,26,8,1,105.43,1,"[HIGH ] Severe Jam @ (0.0, 90.0) (4 steps)"
1,78,MEDIUM,NO_OP,100.0,98.81,1.9989,45.12,26,8,1,147.8,0,None
1,79,MEDIUM,RETIRE_SATELLITE,100.0,100.0,2.2617,45.64,26,8,1,124.2,0,None
