episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.7519,47.26,32,8,0,120.0,0,None
1,2,LOW,NO_OP,100.0,100.0,1.6147,47.22,32,8,0,120.0,0,None
1,3,LOW,NO_OP,100.0,100.0,1.5666,47.21,32,8,0,120.0,0,None
1,4,LOW,NO_OP,100.0,100.0,1.5561,47.22,32,8,0,120.0,0,None
1,5,LOW,NO_OP,100.0,100.0,1.7976,47.22,30,8,0,120.0,1,"[LOW  ] Spoof -> ['GPS BIIF-9  (PRN 26)', 'GPS BIIF-7  (PRN 09)']"
1,6,LOW,NO_OP,100.0,100.0,1.6921,47.21,30,8,0,120.0,0,None
1,7,LOW,NO_OP,100.0,100.0,1.6815,47.22,30,8,0,120.0,0,None
1,8,LOW,NO_OP,100.0,100.0,1.552,47.2,32,8,0,120.0,0,None
1,9,LOW,NO_OP,100.0,100.0,1.9958,47.25,29,8,0,120.0,1,"[LOW  ] Spoof -> ['GPS BIIF-12 (PRN 32)', 'GPS BIII-6  (PRN 28)', 'GPS BIII-2  (PRN 18)']"
1,10,LOW,NO_OP,100.0,100.0,1.6967,47.23,29,8,0,120.0,0,None
1,11,LOW,NO_OP,100.0,98.81,2.0091,47.28,28,8,0,120.0,1,[LOW  ] Spoof -> ['GPS BIIRM-5 (PRN 29)']
1,12,LOW,NO_OP,100.0,100.0,1.6988,47.26,31,8,0,120.0,0,None
1,13,LOW,NO_OP,100.0,100.0,1.6761,47.27,31,8,0,120.0,0,None
1,14,LOW,RETIRE_SATELLITE,100.0,100.0,1.734,47.26,30,8,0,95.0,1,[LOW  ] Spoof -> ['GPS BIIR-13 (PRN 02)']
1,15,LOW,ACTIVATE_SPARE,100.0,100.0,1.6661,47.24,31,7,0,-20.0,0,None
1,16,LOW,NO_OP,100.0,100.0,1.5898,47.22,31,7,0,120.0,0,None
1,17,LOW,NO_OP,100.0,100.0,1.6549,47.26,32,7,0,120.0,0,None
1,18,LOW,NO_OP,100.0,100.0,1.6514,47.25,32,7,0,120.0,0,None
1,19,LOW,NO_OP,100.0,100.0,1.61,47.25,32,7,0,120.0,0,None
1,20,LOW,NO_OP,100.0,100.0,1.5815,47.23,32,7,0,120.0,0,None
1,21,LOW,NO_OP,100.0,100.0,1.5609,47.2,32,7,0,120.0,0,None
1,22,LOW,NO_OP,100.0,100.0,1.7222,47.26,32,7,0,120.0,0,None
1,23,LOW,NO_OP,100.0,100.0,1.5668,47.24,32,7,0,120.0,0,None
1,24,LOW,NO_OP,100.0,100.0,1.6118,47.25,32,7,0,120.0,0,None
1,25,LOW,NO_OP,100.0,100.0,1.5109,47.23,32,7,0,120.0,0,None
1,26,LOW,NO_OP,100.0,100.0,1.7721,47.27,32,7,0,120.0,0,None
1,27,LOW,NO_OP,100.0,100.0,1.7165,47.23,29,7,0,120.0,1,"[LOW  ] Spoof -> ['GPS BIIRM-8 (PRN 05)', 'GPS BIIF-9  (PRN 26)', 'GPS BIIF-1  (PRN 25)']"
1,28,LOW,NO_OP,100.0,100.0,1.7196,47.22,29,7,0,120.0,0,None
1,29,LOW,NO_OP,100.0,100.0,1.64,47.2,29,7,0,120.0,0,None
1,30,LOW,NO_OP,100.0,100.0,1.6769,47.23,32,7,0,120.0,0,None
1,31,LOW,NO_OP,100.0,100.0,1.7128,47.22,32,7,0,120.0,0,None
1,32,LOW,NO_OP,100.0,100.0,1.5673,47.2,32,7,0,120.0,0,None
1,33,LOW,NO_OP,100.0,100.0,1.6741,47.22,32,7,0,120.0,0,None
1,34,LOW,LAUNCH_SATELLITE,100.0,100.0,1.6783,47.22,32,7,1,20.0,0,None
1,35,LOW,NO_OP,100.0,100.0,1.9169,47.24,30,7,1,120.0,1,"[LOW  ] Spoof -> ['GPS BIIF-8  (PRN 03)', 'GPS BIIF-12 (PRN 32)']"
1,36,LOW,NO_OP,100.0,100.0,1.8957,47.24,30,7,1,120.0,0,None
