episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.5131,47.19,32,8,0,102.0,0,None
1,2,LOW,NO_OP,100.0,100.0,1.6609,47.24,32,8,0,102.0,0,None
1,3,LOW,RETIRE_SATELLITE,100.0,100.0,1.5878,47.24,32,8,0,100.0,0,None
1,4,LOW,RETIRE_SATELLITE,100.0,100.0,1.5858,47.26,32,8,0,100.0,0,None
1,5,LOW,ACTIVATE_SPARE,100.0,100.0,1.5794,47.26,32,8,0,0.0,0,None
1,6,LOW,NO_OP,100.0,100.0,1.6252,47.26,32,8,0,102.0,0,None
1,7,LOW,REBALANCE_ORBITS,100.0,100.0,1.8708,47.28,29,8,0,-15.0,1,"[LOW  ] Spoof -> ['GPS BIII-7  (PRN 01)', 'GPS BIIRM-8 (PRN 05)', 'GPS BIIRM-6 (PRN 07)']"
1,8,LOW,NO_OP,100.0,100.0,1.705,47.25,29,8,0,102.0,0,None
1,9,LOW,NO_OP,100.0,100.0,1.6646,47.25,29,8,0,102.0,0,None
1,10,LOW,NO_OP,100.0,100.0,1.799,47.27,29,8,0,102.0,0,None
1,11,LOW,NO_OP,100.0,100.0,1.77,47.26,29,8,0,102.0,0,None
1,12,LOW,LAUNCH_SATELLITE,100.0,100.0,1.8344,47.25,28,8,1,-160.0,1,[LOW  ] Spoof -> ['GPS BIIF-11 (PRN 10)']
1,13,LOW,NO_OP,100.0,100.0,1.7748,47.21,28,8,1,102.0,0,None
1,14,LOW,NO_OP,100.0,100.0,1.794,47.22,28,8,1,102.0,0,None
1,15,LOW,NO_OP,100.0,100.0,2.1826,47.26,25,8,1,-400.0,1,"[LOW  ] Spoof -> ['GPS BIIRM-5 (PRN 29)', 'GPS BIII-2  (PRN 18)', 'GPS BIIF-5  (PRN 30)']"
1,16,LOW,REBALANCE_ORBITS,100.0,97.62,3.0183,47.27,22,8,1,385.0,1,"[LOW  ] Spoof -> ['GPS BIII-3  (PRN 23)', 'GPS BIII-4  (PRN 14)', 'GPS BIII-5  (PRN 11)']"
1,17,LOW,NO_OP,100.0,98.81,2.5229,47.27,22,8,1,-200.0,0,None
1,18,LOW,NO_OP,100.0,97.62,2.3548,47.24,22,8,0,-200.0,0,None
1,19,LOW,ACTIVATE_SPARE,100.0,97.62,2.809,47.26,23,7,0,245.0,0,None
1,20,LOW,NO_OP,97.62,86.9,5.9808,47.21,21,7,0,-600.0,1,"[LOW  ] Spoof -> ['GPS BIIR-5  (PRN 22)', 'GPS BIIF-4  (PRN 27)']"
