episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.6747,47.24,31,8,0,51.76,1,[LOW  ] Spoof -> ['GPS BIIRM-1 (PRN 17)']
1,2,LOW,NO_OP,100.0,100.0,1.6021,47.21,31,8,0,-66.06,0,None
1,3,LOW,RETIRE_SATELLITE,100.0,100.0,1.7022,47.23,31,8,0,255.93,0,None
1,4,LOW,NO_OP,100.0,100.0,1.8638,47.26,31,8,0,246.09,0,None
1,5,LOW,NO_OP,100.0,100.0,1.6292,47.26,31,8,0,253.13,0,None
1,6,LOW,ACTIVATE_SPARE,100.0,100.0,1.5141,47.23,32,7,0,81.58,0,None
1,7,LOW,NO_OP,100.0,100.0,1.551,47.23,32,7,0,255.47,0,None
1,8,LOW,NO_OP,100.0,100.0,1.752,47.26,32,7,0,249.44,0,None
1,9,LOW,NO_OP,100.0,100.0,1.6305,47.23,32,7,0,253.09,0,None
1,10,LOW,NO_OP,100.0,100.0,1.577,47.21,32,7,0,254.69,0,None
1,11,LOW,NO_OP,100.0,100.0,1.5639,47.22,32,7,0,255.08,0,None
1,12,LOW,NO_OP,100.0,100.0,1.6877,47.23,32,7,0,251.37,0,None
1,13,LOW,NO_OP,100.0,100.0,1.6227,47.22,32,7,0,253.32,0,None
1,14,LOW,NO_OP,100.0,100.0,1.5776,47.21,32,7,0,254.67,0,None
1,15,LOW,NO_OP,100.0,100.0,1.5836,47.2,31,7,0,54.49,1,[LOW  ] Spoof -> ['GPS BIIF-11 (PRN 10)']
1,16,LOW,NO_OP,100.0,100.0,1.849,47.25,31,7,0,-73.47,0,None
1,17,LOW,NO_OP,100.0,100.0,1.6214,47.24,31,7,0,253.36,0,None
1,18,LOW,NO_OP,100.0,100.0,1.6973,47.28,31,7,0,251.08,0,None
1,19,LOW,NO_OP,100.0,100.0,1.553,47.25,31,7,0,255.41,0,None
1,20,LOW,NO_OP,100.0,100.0,1.677,47.25,29,7,0,51.69,1,"[LOW  ] Spoof -> ['GPS BIII-7  (PRN 01)', 'GPS BIIF-5  (PRN 30)']"
1,21,LOW,RETIRE_SATELLITE,100.0,100.0,1.868,47.26,29,7,0,295.96,0,None
1,22,LOW,ACTIVATE_SPARE,100.0,100.0,1.9169,47.25,27,6,0,-30.51,1,"[LOW  ] Spoof -> ['GPS BIIR-2  (PRN 13)', 'GPS BIII-5  (PRN 11)', 'GPS BIIRM-1 (PRN 17)']"
1,23,LOW,NO_OP,100.0,100.0,1.9254,47.21,25,6,0,-275.76,1,"[LOW  ] Spoof -> ['GPS BIIRM-2 (PRN 31)', 'GPS BIIRM-5 (PRN 29)']"
1,24,LOW,NO_OP,100.0,100.0,1.9012,47.23,25,6,0,-75.04,0,None
1,25,LOW,REBALANCE_ORBITS,100.0,100.0,0.5563,47.25,25,6,0,550.31,0,None
1,26,LOW,NO_OP,100.0,100.0,1.9943,47.24,25,6,0,72.17,0,None
1,27,LOW,ACTIVATE_SPARE,100.0,100.0,1.7881,47.24,26,5,0,373.36,0,None
1,28,LOW,ACTIVATE_SPARE,100.0,100.0,1.8191,47.23,27,4,0,372.43,0,None
1,29,LOW,REBALANCE_ORBITS,100.0,100.0,0.6613,47.29,27,4,0,547.16,0,None
1,30,LOW,REBALANCE_ORBITS,100.0,98.81,0.4998,47.27,27,4,0,552.01,0,None
1,31,LOW,NO_OP,100.0,98.81,2.1088,47.26,24,4,0,-131.26,1,"[LOW  ] Spoof -> ['GPS BIII-3  (PRN 23)', 'GPS BIII-8  (PRN 21)', 'GPS BIII-1  (PRN 04)']"
1,32,LOW,ACTIVATE_SPARE,100.0,100.0,1.9323,47.22,25,3,0,294.03,0,None
1,33,LOW,NO_OP,100.0,98.81,2.4322,47.26,25,3,0,59.03,0,None
1,34,LOW,NO_OP,100.0,97.62,2.5541,47.21,22,3,0,-144.62,1,"[LOW  ] Spoof -> ['GPS BIIRM-2 (PRN 31)', 'GPS BIIF-7  (PRN 09)', 'GPS BIII-9  (PRN 20)']"
1,35,LOW,NO_OP,100.0,98.81,11.0853,47.17,22,3,0,-452.26,0,None
1,36,LOW,NO_OP,100.0,97.62,2.4978,47.15,22,3,0,57.07,0,None
1,37,LOW,NO_OP,100.0,98.81,2.9659,47.21,20,3,0,-156.98,1,"[LOW  ] Spoof -> ['GPS BIIRM-1 (PRN 17)', 'GPS BIIR-5  (PRN 22)']"
